Title,Summary,Date,Source URL,Article URL,Document_Type,Product_Type,Countries,Regions,Drug_names,Language,Source_File,title_english,summary_english,Detail_URL,Source_URL,Article_URL
"KIMMTRAK 100 MICROGRAMOS/0,5 ML CONCENTRADO PARA SOLUCION PARA PERFUSION, 1 vial de 0,5 ml (NR: 1221630001, CN: 759433)","Resultado fuera de especificación en el ensayo de potencia, detectado en estudios de estabilidad. Cadena de distribución y dispensación/hospitales. Defecto de calidad que no supone un riesgo vital para el paciente",13/06/2025,None,None,Drug Safety Alert,Medicamento de uso hospitalario,None,None,"kimmtrak, tebentafusp",Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/kimmtrak-100-microgramos-05-ml-concentrado-para-solucion-para-perfusion-1-vial-de-05-ml-nr-1221630001-cn-759433/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"BILAXTEN 6 MG/ML COLIRIO EN SOLUCION, 1 frasco de 5 ml (NR: 88089, CN: 758305)",Detección de partículas visibles por precipitación del principio activo. Cadena de distribución y dispensación. Defecto de calidad que no supone un riesgo vital para el paciente,29/05/2025,None,None,Drug Safety Alert,Medicamento,None,None,None,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/bilaxten-6-mg-ml-colirio-en-solucion-1-frasco-de-5-ml-nr-88089-cn-758305/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"BISOPROLOL PENSA 2,5 MG COMPRIMIDOS EFG, 28 comprimidos (Blister PVC/PVDC/Al) (NR: 81435, CN: 713616)",Detección de una impureza por encima de su límite establecido. Cadena de distribución y dispensación. Defecto de calidad que no supone un riesgo vital para el paciente,21/05/2025,None,None,Drug Safety Alert,Medicamento,None,None,bisoprolol,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/bisoprolol-pensa-25-mg-comprimidos-efg-28-comprimidos-blister-pvc-pvdc-al-nr-81435-cn-713616/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"DULOXETINA PENSA PHARMA 30 MG CAPSULAS DURAS GASTRORRESISTENTES EFG , 28 cápsulas (Blister PVC/PVDC-ALUMINIO) (NR: 79370, CN: 704749)",Detección de una impureza por encima de su límite establecido. Cadena de distribución y dispensación. Defecto de calidad que no supone un riesgo vital para el paciente,08/05/2025,None,None,Drug Safety Alert,Medicamento,None,None,None,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/duloxetina-pensa-pharma-30-mg-capsulas-duras-gastrorresistentes-efg-28-capsulas-blister-pvc-pvdc-aluminio-nr-79370-cn-704749/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"TOPIRAMATO TEVA 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 60 comprimidos (NR: 68933, CN: 659269)",Obtención de resultado fuera de especificaciones en el ensayo de contenido durante los estudios de estabilidad en curso. Cadena de distribución y dispensación. Defecto de calidad que no supone un riesgo vital para el paciente,02/04/2025,None,None,Drug Safety Alert,Medicamento,None,None,None,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/topiramato-teva-200-mg-comprimidos-recubiertos-con-pelicula-efg-60-comprimidos-nr-68933-cn-659269/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"CELSIOR SOLUCION PARA LA CONSERVACION DE ORGANOS, 4 bolsas de 1.000 ml",Incumplimiento de normas de correcta fabricación del fabricante Institut Georges Lopez. Cadena de distribución y dispensación/hospitales. Defecto de calidad que no supone un riesgo vital para el paciente,02/04/2025,None,None,Drug Safety Alert,Medicamento de uso hospitalario,None,None,None,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/celsior-solucion-para-la-conservacion-de-organos-4-bolsas-de-1-000-ml/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"CEFIXIMA MABO COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, varias presentaciones","Incumplimiento de las normas de correcta fabricación del fabricante Nectar LifeSciences Limited, Unit VI, India. Cadena de distribución y dispensación. Defecto de calidad que no supone un riesgo vital para el paciente",14/03/2025,None,None,Drug Safety Alert,Medicamento,None,None,None,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/cefixima-mabo-comprimidos-recubiertos-con-pelicula-efg-varias-presentaciones/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"TACROLIMUS STADAFARMA, CAPSULAS DURAS DE LIBERACION PROLONGADA, varias presentaciones",Posible obtención de resultados fuera de especificaciones en el ensayo de contenido durante los estudios de estabilidad en curso. Cadena de distribución y dispensación. Defecto de calidad que no supone un riesgo vital para el paciente,12/03/2025,None,None,Drug Safety Alert,Medicamento,None,None,tacrolimus,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/tacrolimus-stadafarma-capsulas-duras-de-liberacion-prolongada-varias-presentaciones/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"VENLAFAXINA RETARD TEVA 75 mg CAPSULAS DURAS DE LIBERACION PROLONGADA EFG , 30 cápsulas (NR: 69851, CN: 661052)",Prospecto no actualizado. Cadena de distribución y dispensación. Defecto de calidad que no supone un riesgo vital para el paciente,10/03/2025,None,None,Drug Safety Alert,Medicamento,None,None,None,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/venlafaxina-retard-teva-75-mg-capsulas-duras-de-liberacion-prolongada-efg-30-capsulas-nr-69851-cn-661052/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"Pellets de testosterona y de estradiol, FÓRMULA MAGISTRAL",None,04/03/2025,None,None,Drug Safety Alert,None,None,None,estradiol,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/pellets-de-testosterona-y-de-estradiol-formula-magistral-2/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
Fórmulas magistrales incluidas en el anexo de la alerta farmacéutica R_06/2025,None,27/02/2025,None,None,Drug Safety Alert,None,None,None,None,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/formulas-magistrales-incluidas-en-el-anexo-de-la-alerta-farmaceutica-r_06-2025/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"NEUPOGEN 30 MU (0,3 mg/ml) SOLUCION INYECTABLE , 5 viales de 1 ml (NR: 59102, CN: 845826)",None,25/02/2025,None,None,Drug Safety Alert,None,European Union,European Union,None,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/neupogen-30-mu-03-mg-ml-solucion-inyectable-5-viales-de-1-ml-nr-59102-cn-845826/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
"Pellets de testosterona y de estradiol, FÓRMULA MAGISTRAL",None,17/02/2025,None,None,Drug Safety Alert,None,None,None,estradiol,Spanish,ES_news.xlsx,None,None,https://www.aemps.gob.es/informa/pellets-de-testosterona-y-de-estradiol-formula-magistral/,https://www.aemps.gob.es/comunicacion/alertas/medicamentos-uso-humano/?lang=en,None
E21 Inclusion of Pregnant and Breastfeeding Women in Clinical Trials: Draft Guidance for Industry,E21 Inclusion of Pregnant and Breastfeeding Women in Clinical Trials: Draft Guidance for Industry,21/07/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/e21-inclusion-pregnant-and-breastfeeding-women-clinical-trials,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Formal Meetings Between the FDA and Sponsors or Applicants of BsUFA Products Guidance for Industry,Formal Meetings Between the FDA and Sponsors or Applicants of BsUFA Products Guidance for Industry,18/07/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/formal-meetings-between-fda-and-sponsors-or-applicants-bsufa-products-guidance-industry,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Development of Cancer Drugs for Use in Novel Combination - Determining the Contribution of the Individual Drugs’ Effects: Draft Guidance for Industry,Development of Cancer Drugs for Use in Novel Combination - Determining the Contribution of the Individual Drugs’ Effects: Draft Guidance for Industry,17/07/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/development-cancer-drugs-use-novel-combination-determining-contribution-individual-drugs-effects,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Small Volume Parenteral Drug Products and Pharmacy Bulk Packages for Parenteral Nutrition: Aluminum Content and Labeling Recommendations,Small Volume Parenteral Drug Products and Pharmacy Bulk Packages for Parenteral Nutrition: Aluminum Content and Labeling Recommendations,03/07/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/small-volume-parenteral-drug-products-and-pharmacy-bulk-packages-parenteral-nutrition-aluminum,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Myelodysplastic Syndromes: Developing Drug and Biological Products for Treatment: Draft Guidance for Industry,Myelodysplastic Syndromes: Developing Drug and Biological Products for Treatment: Draft Guidance for Industry,02/07/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/myelodysplastic-syndromes-developing-drug-and-biological-products-treatment,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Antibacterial Therapies for Patients With an Unmet Medical Need for the Treatment of Serious Bacterial Diseases – Questions and Answers: Guidance for Industry,Antibacterial Therapies for Patients With an Unmet Medical Need for the Treatment of Serious Bacterial Diseases – Questions and Answers: Guidance for Industry,26/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/antibacterial-therapies-patients-unmet-medical-need-treatment-serious-bacterial-diseases-questions,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Early Lyme Disease as Manifested by Erythema Migrans: Developing Drugs for Treatment,Early Lyme Disease as Manifested by Erythema Migrans: Developing Drugs for Treatment,26/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/early-lyme-disease-manifested-erythema-migrans-developing-drugs-treatment,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Unique Device Identifier Requirements for Combination Products: Draft Guidance for Industry,Unique Device Identifier Requirements for Combination Products: Draft Guidance for Industry,25/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/unique-device-identifier-requirements-combination-products,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Conducting Remote Regulatory Assessments Questions and Answers: Guidance for Industry,Conducting Remote Regulatory Assessments Questions and Answers: Guidance for Industry,24/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/conducting-remote-regulatory-assessments-questions-and-answers,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Q1 Stability Testing of Drug Substances and Drug Products: Draft Guidance for Industry,Q1 Stability Testing of Drug Substances and Drug Products: Draft Guidance for Industry,23/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q1-stability-testing-drug-substances-and-drug-products,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Post-Warning Letter Meetings Under GDUFA,Post-Warning Letter Meetings Under GDUFA,20/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/post-warning-letter-meetings-under-gdufa,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
ANDAs: Pre-Submission Facility Correspondence Related to Prioritized Generic Drug Submissions,ANDAs: Pre-Submission Facility Correspondence Related to Prioritized Generic Drug Submissions,16/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/andas-pre-submission-facility-correspondence-related-prioritized-generic-drug-submissions,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
M11 Technical Specification: Clinical Electronic Structured Harmonised Protocol,M11 Technical Specification: Clinical Electronic Structured Harmonised Protocol,06/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m11-technical-specification-clinical-electronic-structured-harmonised-protocol,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
M11 Template: Clinical Electronic Structured Harmonised Protocol (CeSHarP),M11 Template: Clinical Electronic Structured Harmonised Protocol (CeSHarP),05/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m11-template-clinical-electronic-structured-harmonised-protocol-cesharp,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Recommendations for Complying With Over-the-Counter Monograph Procedure for Minor Changes C001: Minor Changes to Solid Oral Dosage Forms for Certain Over-the-Counter Monograph Drugs: Draft Guidance for Industry,Recommendations for Complying With Over-the-Counter Monograph Procedure for Minor Changes C001: Minor Changes to Solid Oral Dosage Forms for Certain Over-the-Counter Monograph Drugs: Draft Guidance for Industry,04/06/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommendations-complying-over-counter-monograph-procedure-minor-changes-c001-minor-changes-solid,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
M13B Bioequivalence for Immediate-Release Solid Oral Dosage Forms: Additional Strengths Biowaiver: Draft Guidance for Industry,M13B Bioequivalence for Immediate-Release Solid Oral Dosage Forms: Additional Strengths Biowaiver: Draft Guidance for Industry,30/05/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m13b-bioequivalence-immediate-release-solid-oral-dosage-forms-additional-strengths-biowaiver,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
Replacing Color Additives in Approved or Marketed Drug Products: Draft Guidance for Industry,Replacing Color Additives in Approved or Marketed Drug Products: Draft Guidance for Industry,29/05/2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/replacing-color-additives-approved-or-marketed-drug-products,Guidance,Drug Product,United States,North America,None,English,FDA_news.xlsx,None,None,None,None,None
EMA: Chapter 4 - new Requirements for GMP Documentation?,"Since 07 July 2025, three new draft guidance documents have been available on the EMA website, which can be commented on until 07 October 2025. These include Chapter 4, Annex 11 and Annex 22.",30/07/2025,https://www.gmp-compliance.org/gmp-news/ema-chapter-4-new-requirements-for-gmp-documentation,https://www.gmp-compliance.org/gmp-news/ema-chapter-4-new-requirements-for-gmp-documentation,Instructions,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
Swissmedic/EMA: M4Q(R2) Guideline published for Comment,"The draft guideline ""THE COMMON TECHNICAL DOCUMENT FOR THE REGISTRATION OF PHARMACEUTICALS FOR HUMAN USE: QUALITY M4Q(R2)"" of the ICH was published on the ICH website in May 2025. The EMA and Swissmedic have now also published the draft guideline on their websites and set the comment periods until 24 October 2025.",30/07/2025,https://www.gmp-compliance.org/gmp-news/swissmedic-ema-m4qr2-guideline-published-for-comment,https://www.gmp-compliance.org/gmp-news/swissmedic-ema-m4qr2-guideline-published-for-comment,Directive,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
Annex 11 Draft - First Analysis,"On 07 July 2025, the EU Commission published 3 drafts of the EU GMP Guidance Annex 11 “Computerised Systems”, the new Annex 22 “Artificial Intelligence” and Chapter 4 “Documentation”. Here is an initial analysis of the Annex 11 draft.",30/07/2025,https://www.gmp-compliance.org/gmp-news/annex-11-draft-first-analysis,https://www.gmp-compliance.org/gmp-news/annex-11-draft-first-analysis,Instructions,Other,European Union,European Union,None,English,GMP.xlsx,None,None,None,None,None
EDQM publishes three revised Texts on Pharmaceutical Water,"At its 182nd meeting in June 2025, the European Pharmacopoeia Commission (EPC) adopted three revised texts on pharmaceutical water: Water for injection (0169); Purified water (0008); Total organic carbon in water for pharmaceutical purposes (2.2.44). Read more.",30/07/2025,https://www.gmp-compliance.org/gmp-news/edqm-publishes-three-revised-texts-on-pharmaceutical-water,https://www.gmp-compliance.org/gmp-news/edqm-publishes-three-revised-texts-on-pharmaceutical-water,Meeting,Drug Product,Global,Global,water for injection,English,GMP.xlsx,None,None,None,None,None
US Manufacturer buys ‘Pharmaceutical Water’ in Grocery Store,"During an inspection of a US manufacturer of OTC products in March 2025, the FDA identified serious violations of GMP requirements for finished medicinal products. Among other issues, the manufacturer had purchased the water for its production from a grocery store. This resulted in a warning letter from the FDA. Continue reading.",30/07/2025,https://www.gmp-compliance.org/gmp-news/us-manufacturer-buys-pharmaceutical-water-in-grocery-store,https://www.gmp-compliance.org/gmp-news/us-manufacturer-buys-pharmaceutical-water-in-grocery-store,Law,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
VDI updates Cleanroom Guidelines 2083 Sheets 4.1 and 4.2,"The Verein Deutscher Ingenieure (VDI) has updated two guidelines from the VDI 2083 series and published them for comment. VDI 2083 4.1 describes the planning, construction and initial commissioning of cleanrooms, while VDI 2083 4.2 covers the energy efficiency of cleanrooms. Read more.",30/07/2025,https://www.gmp-compliance.org/gmp-news/vdi-updates-cleanroom-guidelines-2083-sheets-4-1-and-4-2,https://www.gmp-compliance.org/gmp-news/vdi-updates-cleanroom-guidelines-2083-sheets-4-1-and-4-2,Directive,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
ECA Guidance on Visual Inspection of Parenterals,Participants of the ECA Conference Visual Inspection of Parenterals in Vienna (Austria) on 22/23 October 2025 will receive the latest version of ECA's Guidance Document on Visual Inspection of Parenterals.,30/07/2025,https://www.gmp-compliance.org/gmp-news/eca-guidance-on-visual-inspection-of-parenterals,https://www.gmp-compliance.org/gmp-news/eca-guidance-on-visual-inspection-of-parenterals,Instructions,Other,Austria,Central Europe,None,English,GMP.xlsx,None,None,None,None,None
WHO: TRS 1060 Nitrosamine Guideline published,"In April 2025, the WHO published the new guideline ‘TRS 1060 - Annex 2: WHO good practice considerations for the prevention and control of nitrosamines in pharmaceutical products’ on its website, which must be taken into account by manufacturers and packagers of excipients, active ingredients, processing aids and finished medicinal products. It should be noted that WHO Annex 2 is to be regarded as a supplement to the existing GMP guidelines and their requirements with regard to nitrosamines, as set out, for example, in ICH M7 (R2).",30/07/2025,https://www.gmp-compliance.org/gmp-news/who-trs-1060-nitrosamine-guideline-published,https://www.gmp-compliance.org/gmp-news/who-trs-1060-nitrosamine-guideline-published,Law,Drug Substance,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
German Draft Act to amend Cannabis Prescription,"The draft act from the German Federal Ministry of Health (Bundesministerium für Gesundheit - BMG) is intended to concretise the Medical Cannabis Act (Medizinal-Cannabisgesetz - MedCanG). Among other things, the draft stipulates that cannabis flowers may only be prescribed after personal contact between a doctor and the patient.",24/07/2025,https://www.gmp-compliance.org/gmp-news/german-draft-act-to-amend-cannabis-prescription,https://www.gmp-compliance.org/gmp-news/german-draft-act-to-amend-cannabis-prescription,Law,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
Revised USP Chapter <561> Articles of Botanical Origin,A revised version of USP chapter <561> Articles of Botanical Origin (ABOs) has been published in the Pharmacopeial Forum. The comment deadline is 30 September 2025.,24/07/2025,https://www.gmp-compliance.org/gmp-news/revised-usp-chapter-561-articles-of-botanical-origin,https://www.gmp-compliance.org/gmp-news/revised-usp-chapter-561-articles-of-botanical-origin,Other Type,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
USP HMC Publishes Final Cannabis Flower Monograph,"Following the revised draft chapter issued last year, the USP Herbal Medicines Compendium (HMC) published the Final Authorized Version 1.0 of its Cannabis Species Inflorescence Monograph.",24/07/2025,https://www.gmp-compliance.org/gmp-news/usp-hmc-publishes-final-cannabis-flower-monograph,https://www.gmp-compliance.org/gmp-news/usp-hmc-publishes-final-cannabis-flower-monograph,Other Type,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
New HPTLC Chapter Proposed for The International Pharmacopoeia,"The World Health Organization (WHO) has published a new general chapter ""1.18 High-performance thin-layer chromatography"" (HPTLC) to be included in The International Pharmacopoeia. The draft is currently open for public consultation. Comments can be submitted via the WHO platform until 09 September 2025.",23/07/2025,https://www.gmp-compliance.org/gmp-news/new-hptlc-chapter-proposed-for-the-international-pharmacopoeia,https://www.gmp-compliance.org/gmp-news/new-hptlc-chapter-proposed-for-the-international-pharmacopoeia,Consultation,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
WHO: TRS 1060 Excipients GMP Guideline published,"In April 2025, the WHO published the new TRS 1060 guideline package on its website. This includes, for example, ""TRS 1060 - Annex 3: WHO good manufacturing practices for excipients used in pharmaceutical products"", which addresses the requirements for excipients used in the pharmaceutical industry.",23/07/2025,https://www.gmp-compliance.org/gmp-news/who-trs-1060-excipients-gmp-guideline-published,https://www.gmp-compliance.org/gmp-news/who-trs-1060-excipients-gmp-guideline-published,Law,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
Shocking Conditions at Indian pharmaceutical Manufacturer,"The FDA inspection at an Indian manufacturer revealed serious violations of GMP requirements, in particular unsustainable hygienic conditions in the production and storage areas.",23/07/2025,https://www.gmp-compliance.org/gmp-news/shocking-conditions-at-indian-pharmaceutical-manufacturer,https://www.gmp-compliance.org/gmp-news/shocking-conditions-at-indian-pharmaceutical-manufacturer,Law,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
Swissmedic updates Risk Assessment of Nitrosamines in Active Substances and finished Medicinal Products,"Swissmedic has published new provisions for the assessment of possible nitrosamine impurities, taking into account international methods with the aim of assessing the carcinogenic potential of nitrosamines and setting limits.",23/07/2025,https://www.gmp-compliance.org/gmp-news/swissmedic-updates-risk-assessment-of-nitrosamines-in-active-substances-and-finished-medicinal-products,https://www.gmp-compliance.org/gmp-news/swissmedic-updates-risk-assessment-of-nitrosamines-in-active-substances-and-finished-medicinal-products,Law,Drug Substance,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
FDA: Complete Response Letters published,"In July, the U.S. FDA (U.S. Food and Drug Administration) published an announcement on its website regarding the publication of a large number of so-called ""Complete Response Letters (CRLs)"". It is already mentioned that further CRLs are to follow in the future.",23/07/2025,https://www.gmp-compliance.org/gmp-news/fda-complete-response-letters-published,https://www.gmp-compliance.org/gmp-news/fda-complete-response-letters-published,Announcement,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
WHO: TRS 1060 regulatory Guidelines published,"In April 2025, the WHO published annexes to its current Technical Report Series (TRS) 1060 on its website, including 'Annex 7: Good practices of national regulatory authorities in implementing the collaborative registration procedures for medical products' and 'Annex 8: Collaborative registration procedure between WHO and national regulatory authorities in the assessment and accelerated national registration of WHO-prequalified vector control products'.",22/07/2025,https://www.gmp-compliance.org/gmp-news/who-trs-1060-regulatory-guidelines-published,https://www.gmp-compliance.org/gmp-news/who-trs-1060-regulatory-guidelines-published,Expert Report,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
AQCG Organises One-Day Track at PharmaLab 2025,"PharmaLab Congress – the event for all pharmaceutical laboratory sectors – will take place from 24–26 November 2025 in Düsseldorf/Neuss. This year, the ECA Analytical Quality Control Group (AQCG) will organise a dedicated one-day conference track. The draft programme is now available.",22/07/2025,https://www.gmp-compliance.org/gmp-news/aqcg-organises-one-day-track-at-pharmalab-2025,https://www.gmp-compliance.org/gmp-news/aqcg-organises-one-day-track-at-pharmalab-2025,Meeting,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
ICH publishes Training Materials on Q2(R2) and Q14,"On 8 July 2025, the ICH published Training Modules 1 to 7 on ICH Q2(R2) “Validation of Analytical Procedures” and ICH Q14 “Analytical Procedure Development.” The files are available for download on the ICH website.",22/07/2025,https://www.gmp-compliance.org/gmp-news/ich-publishes-training-materials-on-q2r2-and-q14,https://www.gmp-compliance.org/gmp-news/ich-publishes-training-materials-on-q2r2-and-q14,Instructions,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
AQCG welcomes two new Board Members,"The ECA Analytical Quality Control Group (AQCG) is pleased to announce recent changes to the Board. As of June 2025, Dr Amanda Guiraldelli Mahr has joined the Board. Lance Smallshaw has been serving as a member since November 2024.",22/07/2025,https://www.gmp-compliance.org/gmp-news/aqcg-welcomes-two-new-board-members,https://www.gmp-compliance.org/gmp-news/aqcg-welcomes-two-new-board-members,NDA Approval,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
Free Webinar on Sampling and Sample Management: Recording & Q&A Document,"A free one-hour webinar on ECA’s new Guidance on Sampling and Sample Management was held on 17 June 2025 for all members of the Analytical Quality Control Group (AQCG). After the event, the speaker, Dr Christopher Burgess, answered the submitted questions in writing. The resulting Q&A document, containing 39 questions and answers, is now available in the members’ area. If you haven’t seen it yet: the webinar recording and presentation slides are also accessible.",22/07/2025,https://www.gmp-compliance.org/gmp-news/free-webinar-on-sampling-and-sample-management-recording-q-a-document,https://www.gmp-compliance.org/gmp-news/free-webinar-on-sampling-and-sample-management-recording-q-a-document,Q&A,Other,Global,Global,None,Multiple,GMP.xlsx,None,None,None,None,None
Analytical Quality Group Developments January through April 2025,Find out what the ECA Analytical Quality Control Group was working on and accomplished in the first four months of 2025 - in the latest report.,22/07/2025,https://www.gmp-compliance.org/gmp-news/analytical-quality-group-developments-january-through-april-2025,https://www.gmp-compliance.org/gmp-news/analytical-quality-group-developments-january-through-april-2025,Other Type,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
ICH E20 Draft Guideline on Adaptive Design for Clinical Trials,The ICH E20 draft Guideline on “Adaptive Design for Clinical Trials” has reached Step 2b of the ICH Process and entered the Step 3 public consultation period. The EU deadline for comments is 30 November 2025.,17/07/2025,https://www.gmp-compliance.org/gmp-news/ich-e20-draft-guideline-on-adaptive-design-for-clinical-trials,https://www.gmp-compliance.org/gmp-news/ich-e20-draft-guideline-on-adaptive-design-for-clinical-trials,Directive,Other,European Union,European Union,None,English,GMP.xlsx,None,None,None,None,None
Update on ICH Guidelines E21 & E22,The ICH is currently working on two new Efficacy Guidelines: E21 on Inclusion of Pregnant and Breastfeeding Individuals in Clinical Trials and E22 on General Considerations for Patient Preference Studies.,17/07/2025,https://www.gmp-compliance.org/gmp-news/update-on-ich-guidelines-e21-e22,https://www.gmp-compliance.org/gmp-news/update-on-ich-guidelines-e21-e22,Directive,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
Glass Containers for Pharmaceutical Use,A revised version of Ph. Eur. chapter 3.2.1. Glass containers for pharmaceutical use has been published in Pharmeuropa 37.3. The comment deadline is 30 September 2025.,17/07/2025,https://www.gmp-compliance.org/gmp-news/glass-containers-for-pharmaceutical-use,https://www.gmp-compliance.org/gmp-news/glass-containers-for-pharmaceutical-use,Other Type,Other,Global,Global,None,English,GMP.xlsx,None,None,None,None,None
